Transect;Station;Name;Acanthastrea;Acropora;Astrea;Astreopora;Coscinarea;Cyphastrea;Dipsatrea;Favites;Galaxea;Goniastrea;Other Hard Coral;Leptastrea;Montipora;Paramontastrea;Pavona;Platygyra;Pocillopora;Porites;Psammocora;Cladiella;Echinostrephus;Lobophytum;Millepora;Molluscs;Sarcophytum;Other Soft Corals;Sand;Dead Corals;Cyanobacteria;CCA;Dictyosphaeria;Halimeda;Amphiroa;Neomeris;Padina;Turbinaria;Turf;Turf_sand;Ulva
C;1;RUNTRANS1C_09,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0
C;1;RUNTRANS1C_10,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,555944441;0;0;0;0;0;0;0;0;0;0;0;0;2,77797222;2,77797222;0;0;0;0;0;0;88,88811112;0
C;1;RUNTRANS1C_11,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,42848327;0;0;0;0;0;0;0;0;0;0;0;0;11,42848327;2,85737796;0;0;0;0;0;0;74,28565551;0
C;1;RUNTRANS1C_12,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;97,222;0
C;1;RUNTRANS1C_13,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,49985938;0;0;0;0;0;0;0;0;0;0;0;0;18,75035156;3,125246093;0;0;0;0;0;28,12496484;37,49957813;0
C;1;RUNTRANS1C_14,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;0;0;0;0;0;19,444;8,333;0;0;0;0;0;2,778;66,667;0
C;1;RUNTRANS1C_15,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61,111;5,556;0;0;0;0;0;25;8,333;0
C;1;RUNTRANS1C_16,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,061002749;0;0;0;0;0;0;0;0;0;0;0;0;45,45424794;0;0;0;0;0;0;18,18191735;30,30283196;0
C;1;RUNTRANS1C_17,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,941394462;0;0;0;0;0;0;0;0;0;0;0;0;8,82312457;2,941394462;0;0;0;0;0;0;85,29408651;0
C;1;RUNTRANS1C_18,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;2,778;0;0;0;0;0;0;94,444;0
