latitude;longitude;incubation;season;sanctuary;locality;site;abc;station;prefixe;arms_name;arms_number;b_m_t;o_c;plate_number;Orientation;arms_campaign;image_id;image_name;Bivalvia;Calc_worm_tube;Hydrozoa;msp10_spo;msp11_spo;msp12_spo;msp15_spo;msp14_spo;msp16_spo;msp18_spo;msp19_spo;msp1_spo;msp20_spo;msp21_spo;msp22_spo;msp23_spo;msp24_spo;msp25_spo;msp26_spo;msp27_spo;msp28_spo;msp29_spo;msp2_spo;msp30_spo;msp31_spo;msp33_spo;msp34_spo;msp35_spo;msp36_spo;msp37_spo;msp38_spo;msp3_spo;msp4_spo;msp5_spo;msp7_spo;msp8_spo;msp9_spo;Pina_sp;Cirripedia;Soft_worm_tube;Other_Chordata;Miniacina_sp_(r)_for;Miniacina_sp_(a)_for;Miniacina_sp_(j)_for;Parasmittina_margaritata_bryo;msp12_bryo;msp14_bryo;Schizomavella_sp_bryo;Smittoidea_cautela_bryo;Watersipora_subtorquata_bryo;Smittipora_harmeriana_bryo;Disporella_novaehollandiae_bryo;msp5_bryo;Crisia_elongata_bryo;Tubulipora_sp_bryo;Scrupocellaria_sp_bryo;Red_biofilm;Green_biofilm;Cyanobacteria;Lissoclinum_sp1_ascc;Ascidia_archaia_ascs;Didemnidae_sp1_ascc;Lissoclinum_sp2_ascc;Cystodystes_sp_ascc;Polysyncraton_milleporae_ascc;Botryllus_sp1_ascc;msp15_ascc;Botryllus_gregalis_ascc;msp17_ascc;Botryllus_sp2_ascc;Aplidium_sp_ascc;Polycarpa_sp_ascs;Trididemnum_sp_ascc;Botryllus_sp3_ascc;Botryllus_tuberatus_ascc;Botryllus_sp6_ascc;Eusynstyela_hartmeyeri_ascc;msp2_ascs;Botryllus_sp4_ascc;Styela_canopus_ascs;Didemnidae_sp2_ascc;Ascidia_sydneiensis_ascs;Botryllus_sp5_ascc;msp5_ascs;Polysyncraton_rostrum_ascc;msp6_ascs;msp7_ascc;Didemnidae_sp3_ascc;Ascidia_fictile_ascs;msp9_ascc;msp9_ascs;Brown_upright_macroalgae;CCA;Green_encr_macroalgae;Green_upright_macroalgae;Red_upright_Macroalgae
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;O;6;U;CINARMS;2462700;CINARMS10_6U.jpg;0;14,634;7,317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,951;0;0;0;0;0;0;0;2,439;2,439;0;0;0;12,195;0;12,195;0;0;0;0;0;0;0;0;0;0;0;2,439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,951;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;O;7;D;CINARMS;2462701;CINARMS10_7D.jpg;0;9,302;2,326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,953;0;2,326;2,326;0;0;0;0;2,326;53,487;0;0;0;9,302;0;2,326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,326;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;T;C;7;U;CINARMS;2462702;CINARMS10_7U.jpg;0;24,138;6,896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,449;0;0;0;0;0;0;0;0;0;0;0;0;0;3,449;0;0;13,793;3,449;13,793;0;0;0;0;0;0;0;0;0;0;0;3,449;0;0;0;0;0;0;0;0;0;0;0;0;3,449;0;0;0;0;0;0;0;0;20,689;0;0;3,449
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;T;C;8;D;CINARMS;2462703;CINARMS10_8D.jpg;4,762;9,523;4,762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,762;14,285;0;4,762;0;19,048;9,523;9,523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,762;0;0;0;0;0;0;0;14,285;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;T;O;8;U;CINARMS;2462704;CINARMS10_8U.jpg;0;19,512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,439;0;2,439;0;19,512;0;0;0;0;0;0;0;0;0;0;0;0;7,317;0;17,074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,829;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;T;O;9;D;CINARMS;2462705;CINARMS10_9D.jpg;0;26,086;2,174;0;0;4,348;0;0;0;0;4,348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,521;0;4,348;0;0;0;0;0;0;0;2,174;2,174;0;0;0;17,392;2,174;2,174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,912;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;B;C;1;U;CINARMS;2462707;CINARMS11_1U.jpg;0;10,526;26,316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,526;0;0;0;0;0;0;0;0;0;0;0;0;10,526;0;15,789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,789;0;0;10,526
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;B;C;2;D;CINARMS;2462708;CINARMS11_2D.jpg;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;B;O;2;U;CINARMS;2462709;CINARMS11_2U.jpg;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2,5;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;B;O;3;D;CINARMS;2462710;CINARMS11_3D.jpg;0;34,091;6,818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,091;0;0;0;0;0;0;0;0;6,818;0;0;0;6,818;4,545;2,273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29,545;0;0;0
