"","Acanthastrea","Acropora","Astrea","Astreopora","CCA","Cladiella","Coscinaraea","Cyanobacteria","Cyphastrea","Dead_coral","Dictyosphaeria","Dipsastraea","Echinopora","Echinostrephus_molaris","Favites","Foraminifera","Galaxea","Goniastrea","Green_turfing_algae","Halimeda","Hard_coral","Hard_Substrate","Hydnophora","Leptastrea","Liagora","Lobophytum","Millepora","Molluscs","Montipora","Neomeris","Padina","Paramontastrea","Pavona","Platygyra","Plesiastrea","Pocillopora","Porites","Psammocora","Sand","Sarcophyton","Soft_Coral","Stylocoeniella","Turbinaria","Turbinaria_algae","Turf_algae","Turf_and_sand","Ulva"
"1C_13",0,0,0,0,18.750352,0,0,0,0,0,3.125246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.124965,0,0,0,0,0,0,0,0,28.124965,37.499578,0
"1C_14",0,0,0,0,19.444,0,0,0,0,0,8.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6945,0,0,0,0,0,0,0,0,2.778,66.667,0
"1C_15",0,0,0,0,61.111,0,0,0,0,0,5.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8.333,0
"1C_16",0,0,0,0,45.454248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.515251,0,0,0,0,0,0,0,0,18.181917,30.302832,0
"1C_17",0,0,0,0,8.8231246,0,0,0,0,0,2.9413945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7353486,0,0,0,0,0,0,0,0,0,85.2940865,0
"1C_18",0,0,0,0,2.778,0,0,0,0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.444,0
"1C_19",0,0,0,0,14.285861,0,0,0,0,0,2.857378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.428483,71.428278,0
"1C_20",0,0,0,0,20.5876436,23.5290381,0,0,0,0,5.8827889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7353486,0,0,0,0,0,0,0,0,29.411827,17.647308,0
"2A_01",0,0,0,0,23.5290381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7353486,0.9804648,1.4706972,0,5.8827889,0,0,0,0,8.8231246,52.9408651,0
"2A_02",0,1.818122,0,0,9.090612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.515284,0,0,6.061135,0,0,0,0,0,21.211791,48.484716,0
"2A_03",0,0,0,3.703667,19.444,0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33325,0,0,0,0,0,0,0,0,2.778,30.556,0
"2A_04",0,0,0,15.238164,8.571017,0,0,0,0,8.571017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857349,31.428777,0
"2A_05",0,0,0,8.333417,8.333083,0,0,2.778028,0,5.556056,0,1.389014,0,0,0,0,0,0,0,0,0,0,0,0,8.333083,0,0,0,0,0,0,0,0,0,0,4.861049,0,0,0,0,0,0,0,0,8.333083,19.444194,0
"2A_06",1.388972,0,0,0,38.888222,2.777944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.777944,0,0,0,0,0,0,0,0,0,1.388972,0,0,0,0,2.777944,0,0,0,16.666667,27.777444,0
"2A_07",0,0,0,0,35.2935571,2.9413945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7353486,0,0,0,0,0,0,0,0,2.9413945,55.8822595,0
"2A_08",0,0,0,0,2.7779444,0,0,0,0,0,0,1.3889722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3889722,0.9259815,0,5.5558889,0,0,0,0,0,0,80.5543889,0
"2A_09",0,0,0,0,2.857349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428674,1.904899,0,11.428366,0,0,0,0,0,0,74.284891,0
"2A_10",0,0,0,0,22.2217778,0,0,2.7779722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7779722,0,0,0,0,0,0,0,0,0,0,2.7777222,0.9259907,0,0,2.7779722,0,0,0,0,2.7779722,52.7774722,0
"2A_11",0,0,0,0,5.7146971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8573486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7143371,0,0,8.5710171,5.7146971,0,0,0,0,0,74.2848914,0
"2A_12",0,0,0,0,11.7643945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9413633,0,0,0,0,0,0,0,0,0,0,0,0.9804544,0,5.8827266,0,0,0,0,0,5.8827266,70.5874256,0
"2A_13",0,0,0,0,16.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.333,0
"2A_14",0,0,0,0,2.778,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,0,0,0,19.444,0,0,0,0,0,2.778,69.444,0
"2A_15",0,0,0,1.904879,37.142064,0,0,0,0,0,0,0,0,5.714638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.714638,0,0,0,0,0,2.857319,42.856702,0
"2A_16",0,0,0,1.9048795,42.856702,0,0,0,0,0,0,0,0,2.8573192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9524397,0,2.8573192,2.8573192,0,0,0,0,0,39.9993829,0
"2A_17",0,0,0,2.777667,11.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.556,0,0,0,0,0,0,0,0,0,0,0.926,0,8.333,0,0,0,0,0,2.778,61.111,0
"2A_18",0,0,0,3.7036296,5.5559444,0,0,0,0,0,0,0,0,2.7779722,0,0,0,0.9259907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3889861,0,0,0,0,0,0,0,0,0,69.4433056,2.7779722
"2A_19",0,0,0,0,8.571105,0,0,2.857378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.571722,0,0,0,0,0,0,59.999794,0
"2A_20",0,0,0,0.9524593,5.7147559,0,0,0,0,0,0,0,0,2.857378,0,0,0,0,0,0,0,0,0,0,2.857378,0,0,0,0,0,0,0,0,0,0,7.1426735,0,0,8.5711053,0,0,0,0,0,0,48.571311,0
"2B_01",0,0,0,0,41.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6945,2.777667,0,0,0,0,0,0,0,19.444,27.778,0
"2B_02",0,0,0,0,14.285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857349,0,0,0,0,0,2.857349,79.999589,0
"2B_03",0,0,0,5.7142955,31.4284539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8573192,0,0,0,0,0,0,0,0,0,0,0.7143298,0,0,11.4282482,0,0,0,0,0,5.7146384,28.5711347,0
"2B_04",0,0,0,2.777694,11.111111,0,0,2.778028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111111,58.333583,0
"2B_05",0,0.5714697,0,0,11.4283657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2857657,0.9524495,0,2.8573486,0,0,0,0,0,0,62.8565257,0
"2B_06",0,2.941183,0,1.96093,11.764519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.676478,3.921506,0,0,0,0,0,0,0,2.941394,38.234952,0
"2B_07",0,0,0,0.926,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.926,0,0,0,0,0,0,0,0,69.444,0
"2B_08",0,0,8.333,0,27.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16675,5.555667,0,0,0,0,0,0,0,8.333,22.222,0
"2B_09",0,1.1112,0,0,8.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77775,4.629667,0,0,0,0,0,0,0,19.444,41.667,0
"2B_10",0,0,0,0,18.181917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.787854,0,0,3.030501,0,0,0,0,0,3.030501,60.605664,0
"2B_11",0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.926,0,2.778,0,0,0,0,0,19.444,50,0
"2B_12",0,0,0,0.9804544,14.7057578,0,0,0,0,0,0,0,0,0,2.9413633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9413633,0,0,0,0,0,5.8827266,67.6460623,0
"2B_13",1.562623,0,0,0,12.499859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.250492,78.124402,0
"2B_14",0,0,0,0,23.529287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.764644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.941426,0,0,0,23.529287,38.235356,0
