"","Acanthastrea","Acropora","Astrea","Astreopora","CCA","Cladiella","Coscinaraea","Cyanobacteria","Cyphastrea","Dead_coral","Dictyosphaeria","Dipsastraea","Echinopora","Echinostrephus_molaris","Favites","Foraminifera","Galaxea","Goniastrea","Green_turfing_algae","Halimeda","Hard_coral","Hard_Substrate","Hydnophora","Leptastrea","Liagora","Lobophytum","Millepora","Molluscs","Montipora","Neomeris","Padina","Paramontastrea","Pavona","Platygyra","Plesiastrea","Pocillopora","Porites","Psammocora","Sand","Sarcophyton","Soft_Coral","Stylocoeniella","Turbinaria","Turbinaria_algae","Turf_algae","Turf_and_sand","Ulva"
"5B",0,0.194458605,0,0.48910408,5.57970609,4.12387419,0,0.1388986,0,0.1428689,0.14286596,0.14286743,0,0.83735772,0.14088302,0,0.31251758,0.104172525,0,0.13889861,0,0,0,0.0694486,0.147068165,0.28573192,0,0,0,0,0.84132928,0,0.1388986,0,0,1.05506352,2.4398264,0.142983385,1.131259205,0.14286745,0,0,0,0,14.36416952,56.24746706,0
"5C",0,0.03125176,0,2.79856766,3.67460887,0,0,0,0,0.416645835,0,0.555593015,0,1.565044445,0,0,0.694448615,0.19363068,0,0.1388986,0.73318354,0,0,0,0.8854722,0.14286745,0.416654165,0,0.5555486,0,1.98173592,0,0,0,0,0.862385265,1.821935475,0,0.71036833,0.1388986,0,0,0.1475787,0,5.255932975,63.096249765,0.1388972
"6A",0,0,0,1.407798515,3.83175392,0.83334165,0,0,0,0.3125211,0,0,0,0.2777972,0.0694486,0,0,0.20221915,0,0.2817689,0.1562623,0,0,0,1.1357081,0.27779445,0.14706815,0.1470697,0,0,0.2777972,0,0.1388986,0,0,0.5713608,9.11938639,0,10.57823036,0,0.14706815,0,0,0,3.700600715,42.996697385,0.1470697
"6B",0,0,0.27779722,3.093183465,8.148454155,0,0,0,0,0.580358015,0,0.28374905,0,0.42066466,0,0,0,0.3267273,0,0,0.41669306,0,0,0,1.28698654,0,1.11108889,0,0,0,0.559559,0,0.1388986,0,0,0.6171497,5.55127039,0,2.994704015,0.1388972,0,0,0,0,7.07616576,46.900092305,0
"6C",0,0.02777972,0,1.54522113,8.65451528,1.50897971,0,0,0,0,0,0.0694493,0,0.31374793,0,0,0.14286596,0,0,0,0.13889861,0,0,0,1.02288799,0,0,0,0,0,0,0.69444305,0,0,0,0.7767917,9.535069005,0,5.047693085,0,0,0,0,0.13889861,6.561751095,39.149484005,0
"7A",0.0731045263157895,0.0319000157894737,0,0.801139363157895,0.921043915789474,2.19297485789474,0,0,0,0,1.81468636315789,0.312354657894737,0,0.593188536842105,0.476126642105263,0,0,0.0501294368421053,0,0.159500073684211,0.159500052631579,0,0,0,0.765400842105263,1.43540843684211,0.159500052631579,0,0.748196157894737,0,0,0,0,0,0,1.52586874736842,1.53046525263158,0.157155157894737,1.48760029473684,0.765389157894737,0.146209063157895,0,0.0751941578947369,0.778691842105263,12.8003337052632,59.1753112631579,0.301017631578947
"7B",0,0.08492669,0,0.404502195,5.38682063,3.297105985,0.42486551,0,0,1.635914015,1.594282255,0.296629995,0,0.1388972,0.51155857,0,0,0,0,0.14286449,0.1470697,0,0,0,1.16723895,0.15626055,0,0.28176463,0,0,0,0.14286743,0,0,0.3125176,1.976488045,0.53517828,0,2.30439158,1.16827938,0,0,0.1388972,0.14286743,9.654592255,56.954277935,1.90332305
"7C",0,0.09436205,0,0.433083966666667,4.47050993888889,3.2215797,0.158739955555556,0.158741588888889,0,1.4338526,1.12539798333333,0.158740772222222,0,0.308663555555556,0.170992888888889,0,0,0,0,0.467403511111111,0.154331788888889,0,0,0.158739955555556,2.83511016111111,1.26981841111111,0,0,0,0,0,0,0,0,0,2.22937072222222,0.375045005555556,0.0817045555555556,2.75706626666667,0,0,0,0.163410833333333,0.793962438888889,19.8370082,46.3112627,1.41569292777778
"8A",0,2.7566779,0,0.15655707,26.21399928,0,0,0.749781,0,0.3125211,0.33372605,0,0,0.622117645,0,0.1724245,0,0,0.30305015,0,0.931784465,0,0,0,0.1515267,0.33335335,0.16667665,0,0,0,0,0,0,0,0,0.481900825,1.438895385,0.309044525,3.89436225,0,0.58822595,0,0,0,6.85003285,37.260978975,0
"8B",0.147068165,0,0,0.923412825,22.40737334,0,0,0,0,0.3030534,0,0,0,0.58036245,0.2187482,0,0,0,0,0,0.14706815,0,0,0,0.14286743,0,0,0,0,0,0,0,0,0,0,0.151513495,1.55765272,0,6.58782921,0,2.419823405,0,0.229796385,0,4.412917595,53.758228905,0
"8C",0,3.415518855,0,0,35.33871151,0,0,0.15626055,0,0.465466805,0.630971,0,0,0,0,0,0.16129969,0.05376655,0,0,0.74242935,0,0.16667865,0,0.97410395,0,1.08424982,0,0,0,0,0,0,0,0,0.48963021,0.691525325,0.080649845,2.8361201,0,2.2216389,0,0,0,14.65771229,18.826899725,0.30416715
"9A",0,2.922102545,0.86579142,0.343945865,18.515594355,3.60081759,0,0,0,1.025240525,0,0.147068165,0,0,0.0806508,0,0.14286743,0.44117855,0,1.59670127,0.73613183,0,0,0,7.003025575,0,0,0,0,0,0,0.28573192,0.285734855,0.07143445,0,0.95660285,0.64023602,0.1428645,1.72622053,0,1.04330272,0,0,0,8.22318137,31.35261774,0
"9B",0,6.57135806666667,0.4762215,0.313056416666667,20.7540822666667,0.327102777777778,0,0,0,0.158739955555556,1.90478805555556,0,0,0,0.0793707777777778,0,0,0,0,2.03272731666667,0,0,0,0,2.55898910555556,0,0,0,0,0,0,0,0,0,0,0.564975672222222,0.105827722222222,0,1.9047815,0,0.952392383333333,0,0,0,11.7391447388889,20.6589432833333,0
"9C",0,2.21670987,0.28573485,0.240912875,16.740165055,5.236032445,0,0,0,0,0.14706815,0,0,0,0.14496855,0,0.14286745,0.13888472,0,2.04429654,0.285734855,0,0,0,6.306114405,0,0,0,0,0,0,0,0.14706815,0,0,1.37675227,0.144345915,0,2.96033329,0,0,0,0,0,9.15645765,38.095200865,0
